model;agent;attribute;mean_initial_halo_effect;mean_revised_halo_effect;mean_peer_review_change;median_peer_review_change;minimum_peer_review_change;maximum_peer_review_change;peer_review_change_sd;reductions;no_changes;amplifications;number_of_pairs;interpretation
Claude;ALL;hiring_recommendation;0,3333;0,2667;-0,0667;0,0;-0,3333;0,0;0,1491;1;4;0;5;Peer review reduced halo
Claude;ALL;leadership_potential;0,5333;0,4667;-0,0667;0,0;-0,3333;0,0;0,1491;1;4;0;5;Peer review reduced halo
Claude;ALL;strategic_thinking;0,1333;0,0667;-0,0667;0,0;-0,3333;0,0;0,1491;1;4;0;5;Peer review reduced halo
Claude;ALL;technical_competence;0,0;0,0667;0,0667;0,0;-0,3333;0,3333;0,2789;1;2;2;5;Peer review amplified halo
Claude;HR Recruiter;analytical_thinking;0,2;0,0;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;HR Recruiter;career_consistency;0,0;-0,2;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;HR Recruiter;client_facing_ability;0,2;0,0;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;HR Recruiter;communication_skills;0,4;0,2;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;HR Recruiter;cultural_fit;0,8;0,6;-0,2;0,0;-1,0;1,0;0,8367;2;2;1;5;Peer review reduced halo
Claude;HR Recruiter;hiring_recommendation;0,4;0,2;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;HR Recruiter;leadership_potential;0,8;0,6;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;HR Recruiter;strategic_thinking;0,4;0,2;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;HR Recruiter;technical_competence;-0,2;0,0;0,2;0,0;-1,0;1,0;0,8367;1;2;2;5;Peer review amplified halo
Claude;Partner;analytical_thinking;0,4;0,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Partner;career_consistency;0,4;0,2;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;Partner;client_facing_ability;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Partner;communication_skills;0,0;-0,2;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;Partner;cultural_fit;0,6;0,6;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Partner;hiring_recommendation;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Partner;leadership_potential;0,4;0,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Partner;strategic_thinking;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Partner;technical_competence;0,2;0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Technology Manager;analytical_thinking;0,2;0,4;0,2;0,0;0,0;1,0;0,4472;0;4;1;5;Peer review amplified halo
Claude;Technology Manager;career_consistency;-0,2;-0,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Technology Manager;client_facing_ability;0,2;0,0;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;Technology Manager;communication_skills;-0,2;-0,4;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;Technology Manager;cultural_fit;0,6;0,4;-0,2;0,0;-1,0;0,0;0,4472;1;4;0;5;Peer review reduced halo
Claude;Technology Manager;hiring_recommendation;0,4;0,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Technology Manager;leadership_potential;0,4;0,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Technology Manager;strategic_thinking;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
Claude;Technology Manager;technical_competence;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;5;0;5;Peer review did not change halo
