model;phase;agent;attribute;mean_neutral_score;mean_halo_score;mean_halo_effect;median_halo_effect;minimum_halo_effect;maximum_halo_effect;halo_effect_sd;positive_pairs;no_change_pairs;negative_pairs;number_of_pairs;effect_direction
ChatGPT;revised;HR Recruiter;strategic_thinking;4,4;4,6;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;HR Recruiter;technical_competence;6,0;6,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;Partner;analytical_thinking;5,6;6,0;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
ChatGPT;revised;Partner;career_consistency;5,4;6,2;0,8;1,0;0,0;2,0;0,8367;3;2;0;5;Average positive halo difference
ChatGPT;revised;Partner;client_facing_ability;4,0;4,0;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
ChatGPT;revised;Partner;communication_skills;5,2;5,4;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;Partner;cultural_fit;5,8;6,4;0,6;0,0;0,0;2,0;0,8944;2;3;0;5;Average positive halo difference
ChatGPT;revised;Partner;hiring_recommendation;4,8;5,4;0,6;1,0;0,0;1,0;0,5477;3;2;0;5;Average positive halo difference
ChatGPT;revised;Partner;leadership_potential;4,0;4,4;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
ChatGPT;revised;Partner;strategic_thinking;4,4;4,6;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;Partner;technical_competence;5,8;6,2;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
ChatGPT;revised;Technology Manager;analytical_thinking;5,6;6,0;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
ChatGPT;revised;Technology Manager;career_consistency;5,6;5,4;-0,2;0,0;-1,0;0,0;0,4472;0;4;1;5;Average negative halo difference
ChatGPT;revised;Technology Manager;client_facing_ability;4,2;4,2;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
ChatGPT;revised;Technology Manager;communication_skills;5,4;5,4;0,0;0,0;-1,0;1,0;0,7071;1;3;1;5;No average halo difference
ChatGPT;revised;Technology Manager;cultural_fit;5,8;6,4;0,6;1,0;0,0;1,0;0,5477;3;2;0;5;Average positive halo difference
ChatGPT;revised;Technology Manager;hiring_recommendation;5,0;5,4;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
ChatGPT;revised;Technology Manager;leadership_potential;4,0;4,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;Technology Manager;strategic_thinking;4,4;4,6;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
ChatGPT;revised;Technology Manager;technical_competence;5,8;6,2;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;initial;ALL;analytical_thinking;4,0667;4,3333;0,2667;0,0;0,0;0,6667;0,3651;2;3;0;5;Average positive halo difference
Claude;initial;ALL;career_consistency;6,0;6,0667;0,0667;0,0;0,0;0,3333;0,1491;1;4;0;5;Average positive halo difference
Claude;initial;ALL;client_facing_ability;2,7333;2,8667;0,1333;0,3333;-0,3333;0,3333;0,2981;3;1;1;5;Average positive halo difference
Claude;initial;ALL;communication_skills;3,8;3,8667;0,0667;0,0;-0,3333;0,6667;0,4346;2;1;2;5;Average positive halo difference
Claude;initial;ALL;cultural_fit;4,8;5,4667;0,6667;0,6667;0,0;1,3333;0,527;4;1;0;5;Average positive halo difference
Claude;initial;ALL;hiring_recommendation;2,8667;3,2;0,3333;0,3333;0,0;1,0;0,4082;3;2;0;5;Average positive halo difference
Claude;initial;ALL;leadership_potential;2,8;3,3333;0,5333;0,6667;0,0;0,6667;0,2981;4;1;0;5;Average positive halo difference
Claude;initial;ALL;strategic_thinking;2,4667;2,6;0,1333;0,0;0,0;0,3333;0,1826;2;3;0;5;Average positive halo difference
Claude;initial;ALL;technical_competence;4,7333;4,7333;0,0;0,0;-0,3333;0,3333;0,2357;1;3;1;5;No average halo difference
Claude;initial;HR Recruiter;analytical_thinking;4,6;4,8;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
Claude;initial;HR Recruiter;career_consistency;6,4;6,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
Claude;initial;HR Recruiter;client_facing_ability;3,0;3,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
Claude;initial;HR Recruiter;communication_skills;4,0;4,4;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;initial;HR Recruiter;cultural_fit;5,0;5,8;0,8;1,0;0,0;2,0;0,8367;3;2;0;5;Average positive halo difference
Claude;initial;HR Recruiter;hiring_recommendation;3,4;3,8;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;initial;HR Recruiter;leadership_potential;3,0;3,8;0,8;1,0;0,0;2,0;0,8367;3;2;0;5;Average positive halo difference
Claude;initial;HR Recruiter;strategic_thinking;2,6;3,0;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;initial;HR Recruiter;technical_competence;5,4;5,2;-0,2;0,0;-1,0;0,0;0,4472;0;4;1;5;Average negative halo difference
Claude;initial;Partner;analytical_thinking;3,6;4,0;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;initial;Partner;career_consistency;5,6;6,0;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;initial;Partner;client_facing_ability;2,6;2,6;0,0;0,0;-1,0;1,0;0,7071;1;3;1;5;No average halo difference
Claude;initial;Partner;communication_skills;3,4;3,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
Claude;initial;Partner;cultural_fit;4,6;5,2;0,6;1,0;0,0;1,0;0,5477;3;2;0;5;Average positive halo difference
Claude;initial;Partner;hiring_recommendation;2,6;2,8;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
Claude;initial;Partner;leadership_potential;2,6;3,0;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;initial;Partner;strategic_thinking;2,4;2,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
Claude;initial;Partner;technical_competence;4,4;4,6;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
Claude;initial;Technology Manager;analytical_thinking;4,0;4,2;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
Claude;initial;Technology Manager;career_consistency;6,0;5,8;-0,2;0,0;-1,0;1,0;0,8367;1;2;2;5;Average negative halo difference
Claude;initial;Technology Manager;client_facing_ability;2,6;2,8;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
Claude;initial;Technology Manager;communication_skills;4,0;3,8;-0,2;0,0;-1,0;1,0;0,8367;1;2;2;5;Average negative halo difference
Claude;initial;Technology Manager;cultural_fit;4,8;5,4;0,6;0,0;0,0;2,0;0,8944;2;3;0;5;Average positive halo difference
Claude;initial;Technology Manager;hiring_recommendation;2,6;3,0;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;initial;Technology Manager;leadership_potential;2,8;3,2;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;initial;Technology Manager;strategic_thinking;2,4;2,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
Claude;initial;Technology Manager;technical_competence;4,4;4,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
Claude;revised;ALL;analytical_thinking;4,0;4,2667;0,2667;0,3333;0,0;0,6667;0,2789;3;2;0;5;Average positive halo difference
Claude;revised;ALL;career_consistency;6,0667;6,0;-0,0667;0,0;-0,3333;0,3333;0,2789;1;2;2;5;Average negative halo difference
Claude;revised;ALL;client_facing_ability;2,7333;2,7333;0,0;0,0;-0,6667;0,3333;0,4082;2;2;1;5;No average halo difference
Claude;revised;ALL;communication_skills;3,8667;3,7333;-0,1333;0,0;-0,6667;0,3333;0,5055;2;1;2;5;Average negative halo difference
Claude;revised;ALL;cultural_fit;4,7333;5,2667;0,5333;0,6667;0,0;1,0;0,5055;3;2;0;5;Average positive halo difference
Claude;revised;ALL;hiring_recommendation;2,8;3,0667;0,2667;0,3333;-0,3333;1,0;0,4944;3;1;1;5;Average positive halo difference
Claude;revised;ALL;leadership_potential;2,8;3,2667;0,4667;0,6667;0,0;0,6667;0,2981;4;1;0;5;Average positive halo difference
Claude;revised;ALL;strategic_thinking;2,4667;2,5333;0,0667;0,0;0,0;0,3333;0,1491;1;4;0;5;Average positive halo difference
Claude;revised;ALL;technical_competence;4,4667;4,5333;0,0667;0,0;-0,3333;0,6667;0,3651;1;3;1;5;Average positive halo difference
Claude;revised;HR Recruiter;analytical_thinking;4,6;4,6;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
Claude;revised;HR Recruiter;career_consistency;6,4;6,2;-0,2;0,0;-1,0;0,0;0,4472;0;4;1;5;Average negative halo difference
Claude;revised;HR Recruiter;client_facing_ability;3,0;3,0;0,0;0,0;-1,0;1,0;0,7071;1;3;1;5;No average halo difference
Claude;revised;HR Recruiter;communication_skills;4,0;4,2;0,2;0,0;-1,0;1,0;0,8367;2;2;1;5;Average positive halo difference
Claude;revised;HR Recruiter;cultural_fit;4,8;5,4;0,6;1,0;0,0;1,0;0,5477;3;2;0;5;Average positive halo difference
Claude;revised;HR Recruiter;hiring_recommendation;3,2;3,4;0,2;0,0;-1,0;1,0;0,8367;2;2;1;5;Average positive halo difference
Claude;revised;HR Recruiter;leadership_potential;3,0;3,6;0,6;1,0;0,0;1,0;0,5477;3;2;0;5;Average positive halo difference
Claude;revised;HR Recruiter;strategic_thinking;2,6;2,8;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
Claude;revised;HR Recruiter;technical_competence;4,6;4,6;0,0;0,0;-1,0;1,0;0,7071;1;3;1;5;No average halo difference
Claude;revised;Partner;analytical_thinking;3,6;4,0;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;revised;Partner;career_consistency;5,8;6,0;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
Claude;revised;Partner;client_facing_ability;2,6;2,6;0,0;0,0;-1,0;1,0;0,7071;1;3;1;5;No average halo difference
Claude;revised;Partner;communication_skills;3,6;3,4;-0,2;0,0;-1,0;0,0;0,4472;0;4;1;5;Average negative halo difference
Claude;revised;Partner;cultural_fit;4,6;5,2;0,6;1,0;0,0;1,0;0,5477;3;2;0;5;Average positive halo difference
Claude;revised;Partner;hiring_recommendation;2,6;2,8;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
Claude;revised;Partner;leadership_potential;2,6;3,0;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;revised;Partner;strategic_thinking;2,4;2,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
Claude;revised;Partner;technical_competence;4,4;4,6;0,2;0,0;0,0;1,0;0,4472;1;4;0;5;Average positive halo difference
Claude;revised;Technology Manager;analytical_thinking;3,8;4,2;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;revised;Technology Manager;career_consistency;6,0;5,8;-0,2;0,0;-1,0;1,0;0,8367;1;2;2;5;Average negative halo difference
Claude;revised;Technology Manager;client_facing_ability;2,6;2,6;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
Claude;revised;Technology Manager;communication_skills;4,0;3,6;-0,4;0,0;-1,0;0,0;0,5477;0;3;2;5;Average negative halo difference
Claude;revised;Technology Manager;cultural_fit;4,8;5,2;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;revised;Technology Manager;hiring_recommendation;2,6;3,0;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;revised;Technology Manager;leadership_potential;2,8;3,2;0,4;0,0;0,0;1,0;0,5477;2;3;0;5;Average positive halo difference
Claude;revised;Technology Manager;strategic_thinking;2,4;2,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
Claude;revised;Technology Manager;technical_competence;4,4;4,4;0,0;0,0;0,0;0,0;0,0;0;5;0;5;No average halo difference
